close,epoch,high,low,open
1209.4,1749606960,1209.4,1207.77,1207.96
1211.64,1749607020,1211.64,1208.95,1209.84
1210.72,1749607080,1211.68,1208.9,1211.68
1209.31,1749607140,1212.15,1209.31,1210.41
1206.09,1749607200,1209.51,1206.09,1209.36
1206.68,1749607260,1207.01,1204.79,1206.02
1204.84,1749607320,1206.53,1204.06,1206.53
1205.79,1749607380,1207.03,1205.04,1205.04
1208.23,1749607440,1208.82,1206.18,1206.18
1207.75,1749607500,1209.02,1207.42,1208.28
1207.95,1749607560,1208.03,1206.43,1207.65
1207.42,1749607620,1209.38,1207.42,1208.05
1208.14,1749607680,1208.14,1206.21,1207.31
1208.25,1749607740,1208.82,1207.38,1208.25
1208.62,1749607800,1208.64,1206.99,1208.0
1209.06,1749607860,1209.17,1207.73,1208.33
1210.28,1749607920,1210.28,1208.08,1209.65
1207.78,1749607980,1209.84,1207.78,1209.84
1208.75,1749608040,1209.36,1207.25,1207.26
1209.93,1749608100,1211.4,1208.11,1208.65
1208.61,1749608160,1209.82,1208.25,1209.82
1206.08,1749608220,1209.59,1206.08,1209.14
1206.25,1749608280,1207.55,1205.15,1206.16
1204.09,1749608340,1206.86,1204.09,1206.15
1203.54,1749608400,1204.12,1203.07,1203.74
1203.88,1749608460,1205.0,1203.03,1203.9
1204.05,1749608520,1205.05,1202.54,1204.09
1205.49,1749608580,1205.74,1204.17,1204.25
1205.61,1749608640,1206.82,1205.32,1205.7
1202.01,1749608700,1205.53,1202.01,1205.53
1201.33,1749608760,1202.37,1200.11,1202.15
1201.36,1749608820,1201.36,1199.31,1201.25
1203.02,1749608880,1203.25,1201.52,1201.52
1203.89,1749608940,1203.89,1202.18,1202.53
1203.54,1749609000,1204.25,1203.29,1204.25
1204.76,1749609060,1205.02,1202.93,1203.4
1203.61,1749609120,1204.44,1203.59,1204.44
1202.23,1749609180,1204.22,1202.04,1204.11
1200.55,1749609240,1203.1,1200.16,1202.31
1202.53,1749609300,1202.66,1200.75,1200.91
1202.68,1749609360,1202.96,1200.92,1202.32
1200.62,1749609420,1202.88,1199.81,1202.88
1198.88,1749609480,1201.2,1198.88,1201.2
1200.76,1749609540,1200.76,1197.6,1198.49
1203.13,1749609600,1203.72,1200.64,1200.64
1205.82,1749609660,1206.15,1202.56,1203.35
1205.82,1749609720,1206.8,1204.82,1205.81
1208.33,1749609780,1208.33,1206.04,1206.04
1209.55,1749609840,1209.55,1207.76,1208.64
1206.41,1749609900,1210.05,1206.37,1209.8
1203.02,1749609960,1206.39,1203.0,1205.84
1205.23,1749610020,1206.02,1202.33,1203.43
1202.92,1749610080,1205.37,1202.36,1205.34
1202.06,1749610140,1203.01,1201.51,1202.43
1201.36,1749610200,1201.92,1200.87,1201.84
1203.3,1749610260,1204.19,1201.39,1201.39
1202.5,1749610320,1203.56,1201.73,1203.56
1203.16,1749610380,1204.04,1202.94,1203.0
1203.76,1749610440,1204.37,1202.87,1203.58
1202.45,1749610500,1204.39,1202.44,1204.19
1201.63,1749610560,1202.64,1199.93,1202.64
1201.52,1749610620,1202.24,1201.24,1201.54
